ID,タイトル,ジャンル,難易度,長さ,文字数,漢字率
bicycle_essay_400_001,自転車と日々の移動,暮らし・道具,基礎,５００字未満,427.0,35.4
washing-essay-life,洗濯と暮らしの時間,暮らし・道具,基礎,５００字未満,436.0,34.9
waribashi-column,割りばしに関するコラム,暮らし・道具,基礎,５００字未満,479.0,32.4
kadai_kitchenpaper,キッチンペーパーの役割,暮らし・道具,基礎,５００字未満,488.0,26.4
middle_east_history_01,中東情勢の歴史,歴史,基礎,１５００字未満,1362.0,37.8
patent-right-history,特許権の歴史,歴史,基礎,２０００字未満,1798.0,37.4
sado_world_heritage_01,佐渡金山等の世界文化遺産の世界的価値,歴史,発展,１５００字未満,1006.0,44.5
architecture_history_01,建築の歴史と発展,歴史,発展,２５００字未満,2198.0,45.6
glasses_history_01,眼鏡の歴史と技術の発展,歴史,発展,３０００字未満,2818.0,35.3
misinformation-echochamber-essay,デマとエコーチェンバーの危険性,社会・ネット,基礎,短文,604.0,30.0
summer-energy-saving,夏場の省エネルギー呼びかけ,社会・制度,標準,長文,1428.0,30.0
student-cafeteria-inflation,物価高に伴う学生食堂の減少,社会・制度,標準,長文,1461.0,30.0
law-system-essay,法律の仕組みと暮らし,社会・教育,基礎,５００字未満,404.0,32.7
terakoya_modern_society_01,寺子屋文化と現代社会,社会・教育,基礎,１５００字未満,1373.0,37.1
kadai_hyogaki_shisan,氷河期世代に見られる資産格差,社会・教育,標準,２０００字未満,1449.0,30.5
kadai_kojinjouhou_2026,２０２６年度の個人情報保護法改正案,社会・教育,標準,２０００字未満,1532.0,30.8
law_moral_manner_3500,法律とモラル、マナー,社会・教育,標準,２０００字未満,1885.0,30.2
digital-democracy,デジタル社会の進展と民主主義の行方,社会・教育,標準,２５００字未満,2417.0,36.4
kadai_mensetsu_daiichiinshou,面接の第一印象,社会・教育,標準,２５００字未満,2419.0,35.7
statistics_census_japan_3500,日本の統計と国勢調査,社会・教育,発展,３０００字未満,2671.0,42.6
education-future-learning,現代社会と教育の変化,社会・教育,発展,３０００字未満,2705.0,43.7
statistics-population-issues,統計と人口問題の変化を考える,社会・教育,発展,３０００字未満,2907.0,43.4
leadership-followership,リーダーシップとフォロワーシップの役割,社会・教育,発展,３５００字未満,3319.0,35.5
administration-system-essay,行政制度と社会の変化,社会・教育,発展,３５００字未満,3414.0,41.0
science-temperature-life,気温と日常生活の変化,科学・医療,基礎,短文,608.0,39.6
baby-smell-science-essay,赤ちゃんのにおいの科学,科学・医療,基礎,短文,622.0,21.1
sound-wave-relationship,音と波の関係性,科学・医療,基礎,５００字未満,419.0,30.3
latest-menstrual-pain-treatment,生理痛の最新の治療法,科学・医療,基礎,１５００字未満,1151.0,35.3
kadai_rigakuryouhou_stretch_shinkei,理学療法、ストレッチ、神経,科学・医療,標準,２０００字未満,1960.0,34.6
medical-community-care,地域医療と現代社会の課題,科学・医療,発展,２５００字未満,2399.0,43.4
psychology-cognitive-science,心理学・認知科学と人間の思考,科学・医療,発展,３０００字未満,2859.0,33.4
67,円安と生活の変化,経済,標準,５００字級,580.0,0.3
kadai_rapidus,ラピダスと半導体産業,経済・金融,基礎,短文,512.0,41.4
money-system-essay,お金の仕組みと暮らし,経済・金融,基礎,短文,558.0,30.3
kadai_topix_mikata,ＴＯＰＩＸの見方と株式市場,経済・金融,標準,２０００字未満,1975.0,35.6
business-management-future,企業経営と変化するビジネス社会,経済・金融,発展,２０００字未満,1862.0,46.1
marketing_facts_01,マーケティングと消費行動,経済・金融,発展,２５００字未満,2336.0,41.1
16,金融市場と社会の関係,経済・金融,発展,３０００字未満,2696.0,41.7
66,日本の貿易と経済,経済・金融,発展,３０００字未満,2752.0,40.9
financial-crisis-history-and-preparedness,金融危機の歴史と備えるべき対策,経済・金融,発展,３５００字未満,3047.0,40.9
sunflower-essay-2026,ひまわりと夏の景色,自然・植物,基礎,短文,401.0,21.5
bamboo-trivia-essay,竹にまつわる雑学,自然・植物,基礎,短文,414.0,22.5
seaweed-essay,海そうと海辺の記憶,自然・環境,基礎,短文,376.0,15.7
birdwatching-essay,バードウォッチングの魅力,自然・環境,基礎,短文,578.0,31.1
flower-essay-400,花と季節のうつろい,自然・環境,基礎,５００字未満,415.0,34.2
shell_essay_400_001,貝殻と浜辺,自然・環境,基礎,５００字未満,437.0,26.5
latin-america-geography,ラテンアメリカの地理と自然環境,自然・環境,発展,３０００字未満,2822.0,38.4
invasive-species-risk,外来生物がもたらす環境への影響,自然・環境,発展,３０００字未満,2836.0,37.6
monshirocho-trivia,モンシロチョウの雑学,自然・環境,発展,３０００字未満,2963.0,32.3
68,トランプとカードゲーム,遊び・文化,初級,５００字級,539.0,低め
food-carbonated-health-1,炭酸飲料水の誕生と健康,食,基礎,１５００字未満,1158.0,34.6
food-industry-future-2,食品流通と食卓を支える仕組み,食,発展,２０００字未満,1899.0,40.2
cooking-food-culture,料理文化と現代社会,食,発展,２５００字未満,2177.0,39.6
food-industry-future,食品産業の発展と現代社会,食,発展,２５００字未満,2372.0,40.9
food-ingredients-modern,食材と現代の食生活,食,発展,３０００字未満,2561.0,39.1
